,track_name,_description
1631,65wnZsZLKJimfK1cTFOfa1,seeing blind niall horan seeing blind midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key9 
1632,2cOUlop2ZakjOKe4WinesN,slow hands niall horan slow hands highpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key0 
1633,39jXnbACjiaiTwwhsr5sY5,too much to ask niall horan too much to ask highpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key0 
1634,1hJ6KojJObbRvjuVj8Ezya,paper houses niall horan paper houses midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key4 
1635,4WZT0Mi3tD0XrYRkkDlxNN,since were alone niall horan since we're alone midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key1 
1636,5BpmwiKR6ns1EtfCQRpNUc,flicker niall horan flicker midpopularity highacousticness lowdanceability lowenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key3 
1637,69GWewQgiJozsgSb9dDEgY,you and me niall horan you and me midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key0 
1638,2JL820UpxG8mLGWt1jjNRx,on my own niall horan on my own midpopularity lowacousticness lowdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key7 
1639,2wulDoMWELRDOBbTkVoDH3,the tide niall horan the tide midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key7 
1640,7JyZzz4rMPMWMsb27vArSN,fire away niall horan fire away midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key6 
1641,6aGwF9D2BqmcSzF0JpfzJu,mirrors niall horan mirrors midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key2 
1642,2d48mamATjby7wgPjdrSOQ,craving you thomas rhett craving you midpopularity lowacousticness middanceability highenergy lowinstrumentalness midliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key9 
1643,30MM5jWpUmOxtTNd9Ey5LZ,unforgettable thomas rhett unforgettable highpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key7 
1644,3pJkBPHadRAxBBo484RipI,sixteen thomas rhett sixteen midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key1 
1645,1mJFIsUzfbeh0KBuXLVe16,drink a little beer thomas rhett drink a little beer midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key9 
1646,0OWZFobGSIW9GrSlQ9C5pc,marry me thomas rhett marry me highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key3 
1647,0wyja8xD9cNhDtfuY0dVMP,leave right now thomas rhett leave right now midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key4 
1648,673kHtQzMDr8eZtcawrfgh,smooth like the summer thomas rhett smooth like the summer midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key6 
1649,4Vxu50qVrQcycjRyJQaZLC,life changes thomas rhett life changes midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key7 
1650,35sFGUnvLP2LPHzmdwsq40,when you look like that thomas rhett when you look like that midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key9 
1651,6BSLkNSWTWzaC2wbBlD2QI,sweetheart thomas rhett sweetheart midpopularity lowacousticness middanceability highenergy lowinstrumentalness midliveness highloudness minormode lowspeechiness midtempo highvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key0 
1652,2U57XZh5CgCjqb9VaU9ynm,kiss me like a stranger thomas rhett kiss me like a stranger midpopularity midacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key1 
1653,27rPYvYisboZwKnIiX2cug,renegades thomas rhett renegades midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key9 
1654,1OlDnyauZ0kTdD7AhzoNJC,gateway love thomas rhett gateway love midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key0 
1655,0rpwb2kLgS6KAZsostOj1O,grave thomas rhett grave midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime country contemporary country country road key5 
1656,02opp1cycqiFNDpLd2o1J3,big lie post malone big lie midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key6 
1657,0H8XeaJunhvpBdBFIYi6Sh,deja vu post malone deja vu highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key7 
1658,1QWmKmqhv5zcsS3v45FNl0,cold post malone cold midpopularity midacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key4 
1659,0LpiKjWMfZTkPPHonlM8nB,"yours truly austin post post malone yours truly, austin post midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key6 "
1660,5BoOzegGrg5XFRR8UBDtkF,broken whiskey glass post malone broken whiskey glass midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key0 
1661,6M0IsaUX4GNyto4niSegfI,no option post malone no option midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key2 
1663,75ZvA4QfFiZvzhj2xkaWAh,i fall apart post malone i fall apart highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key8 
1664,5DLTuH4A5VZB2HKpqHQR6t,patient post malone patient midpopularity midacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key5 
1665,5yuShbu70mtHXY0yLzCQLQ,go flex post malone go flex highpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key5 
1666,7MTIDmToGs0I5Oue9V0CHl,feel post malone feel midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key5 
1667,4SYUUlkScpNR1QvPscXf8t,too young post malone too young midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key4 
1669,2rKmNEYrQxaOPZrOWKZpOc,up there post malone up there midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness slowtempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key5 
1670,5dI1yHSqgmilFEqpGbqxHh,leave post malone leave midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key4 
1671,61jnrkPHpLumBf1kqGpRRt,hit this hard post malone hit this hard midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key0 
1672,1ysAvOdJgUjc6CqOQxepaz,money made me do it post malone money made me do it midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime rap melodic rap dfw rap key7 
1674,5tz69p7tJuGPeMGwNTxYuV,18002738255 logic 1-800-273-8255 highpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop rap rap hip hop conscious hip hop key5 
1675,05wXrYgD8uo9Fbbba1NuFL,tyrant onerepublic tyrant lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity twothousands pop piano rock key11 
1676,2ZE1EiHnmtdiv9KAJTGeRq,what kind of man florence + the machine what kind of man midpopularity lowacousticness lowdanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key11 
1677,3o9qzsqkT0mvfxcusUaXsN,delilah florence + the machine delilah midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key9 
1678,0D9QuOa5HkXEpgBBlFGksh,caught florence + the machine caught lowpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key0 
1679,1gBnTCV0hZheP3XWGRo085,third eye florence + the machine third eye lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key5 
1680,6CtnrcBHoK6Xf5rHUf0vbZ,ship to wreck florence + the machine ship to wreck midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key9 
1681,7GlwvJ8iAbCEfZjGq3iwmZ,"how big how blue how beautiful florence + the machine how big, how blue, how beautiful midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key7 "
1682,4ZkGNzavB3e5mPpEP8HUjB,queen of peace florence + the machine queen of peace midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key10 
1683,5ZEAEazgJGdIMSz55qOORv,various storms  saints florence + the machine various storms & saints midpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key10 
1684,5eSpqylqJdZPEX85nTGEVp,long  lost florence + the machine long & lost midpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key7 
1685,61cqRRPu5UNnh5ki7d2QsO,st jude florence + the machine st jude midpopularity highacousticness lowdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key8 
1686,4CiwrZIoIjvh9GxlT3sE9y,mother florence + the machine mother lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop baroque pop uk alternative pop key2 
1701,043CB5VqGkGOXOCndP650N,good as hell lizzo good as hell midpopularity lowacousticness highdanceability highenergy lowinstrumentalness midliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime pop key0 
1702,6E44nO0qqQqfmXOhQPp0MM,coconut oil lizzo coconut oil midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop key0 
1703,318EGw5ZZB8U5MdMWQwxZQ,bastards kesha bastards midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key7 
1704,1nxufatvWIGPPBtPACXzu8,let em talk feat eagles of death metal kesha let 'em talk (feat. eagles of death metal) midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key9 
1705,1kJtfldK9F7XmsSiSNlbth,woman feat the dapkings horns kesha woman (feat. the dap-kings horns) midpopularity lowacousticness highdanceability highenergy lowinstrumentalness highliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key5 
1706,1JuChOEPH0Rceq573FGQSK,hymn kesha hymn midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness slowtempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key6 
1707,0jdny0dhgjUwoIp5GkqEaA,praying kesha praying highpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness slowtempo lowvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key10 
1708,1g1TeDflB6atAy7HKwrzXu,learn to let go kesha learn to let go midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key5 
1709,1Himp3M7IH46qw2yBN1Fxy,finding you kesha finding you midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key7 
1710,2Tuc96S4JToUiQSLW3aMec,rainbow kesha rainbow midpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key0 
1711,5HJ2psjlq5wyxtUA43Ylgy,hunt you down kesha hunt you down midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key7 
1712,2ZKvBNoOjYzbB00EwutMgQ,boogie feet feat eagles of death metal kesha boogie feet (feat. eagles of death metal) midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key2 
1713,2buPg3KvHsc4TzMEHkeVYn,boots kesha boots midpopularity lowacousticness highdanceability highenergy lowinstrumentalness midliveness highloudness minormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key10 
1714,6qBjkG0b9r7tuVDFl68uiT,old flames cant hold a candle to you feat dolly parton kesha old flames (can't hold a candle to you) (feat. dolly parton) midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key0 
1715,1UY1Pm2VAZCDYu3U1gk3GR,godzilla kesha godzilla midpopularity midacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key6 
1716,3BQSU5ZuBfpJsTxYyCK9QJ,spaceship kesha spaceship midpopularity highacousticness middanceability midenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop dance pop postteen pop key4 
1717,0BAVZv9yFpfHWWZY7XeWxx,believe shawn mendes believe midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity highartist_popularity presenttime pop dance pop canadian pop viral pop key0 
1718,01vWrOtEdzlQorEhifVUo3,"rotten to the core  from descendants wicked world sofia carson rotten to the core - from ""descendants: wicked world"" midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime pop postteen pop key11 "
1719,0PslQwFjnu3nTm9ka7d0xL,"good is the new bad  from descendants wicked world dove cameron good is the new bad - from ""descendants: wicked world"" midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity presenttime pop postteen pop key0 "
1720,2bNxCVI4Fub8BAwr0CQDyd,rotten to the core dove cameron rotten to the core midpopularity lowacousticness highdanceability highenergy lowinstrumentalness midliveness highloudness minormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop postteen pop key4 
1721,0oe0UYSKAESBUR12I1ESXQ,evil like me kristin chenoweth evil like me midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity presenttime show tunes key7 
1722,1YekSxsAlGlYvm9zjLsKdh,did i mention jeff lewis did i mention midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity midartist_popularity presenttime  key7 
1723,1mRBJdpIgc3jZH8C3cN2WV,if only dove cameron if only highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop postteen pop key7 
1724,5bIaUFqwok97vCXAoTqFkj,be our guest mitchell hope be our guest midpopularity lowacousticness middanceability highenergy lowinstrumentalness highliveness highloudness majormode midspeechiness hightempo highvalence midalbum_popularity midartist_popularity presenttime  key9 
1725,0xlHBT4TViZJGdEPi5M4pm,if only reprise dove cameron if only (reprise) midpopularity highacousticness lowdanceability lowenergy lowinstrumentalness lowliveness midloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop postteen pop key7 
1726,7I80zTBTDNnbOiJQ0JLjZr,set it off dove cameron set it off midpopularity lowacousticness middanceability highenergy lowinstrumentalness highliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime pop postteen pop key9 
1727,0tA3r8h5RZp9xSPrZe8fcK,"night is young  from descendants wicked world china anne mcclain night is young - from ""descendants: wicked world"" midpopularity lowacousticness highdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity presenttime pop postteen pop key5 "
1728,2hmKa3f1Vl0ifRYQZSnW8y,"im your girl  from descendants wicked world felicia barton i'm your girl - from ""descendants: wicked world"" midpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity presenttime  key1 "
1729,4yC1ls1ambXHJtFwQvPbuO,descendants score suite david lawrence descendants score suite lowpopularity highacousticness lowdanceability midenergy highinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo lowvalence midalbum_popularity lowartist_popularity presenttime  key7 
1730,4u9Y4Z9i9VaAbBK7rW1Rha,meet me in the hallway harry styles meet me in the hallway highpopularity highacousticness middanceability midenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop key2 
1731,5Ohxk2dO5COHF1krpoPigN,sign of the times harry styles sign of the times highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime pop key5 
1732,3Dwq1oiOFys6Sxr5SslmXw,carolina harry styles carolina highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key4 
1733,4B1rpPmQXwj78wk6aIGwwU,two ghosts harry styles two ghosts highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness slowtempo midvalence highalbum_popularity highartist_popularity presenttime pop key6 
1734,5kRPPEWFJIMox5qIkQkiz5,sweet creature harry styles sweet creature highpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime pop key7 
1735,5Lbsc65org0b85kNsPkluY,only angel harry styles only angel highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop key5 
1736,33SNO8AaciGbNaQFkxvPrW,kiwi harry styles kiwi highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key2 
1737,5LABCxgmP7DATATIJXOh6n,ever since new york harry styles ever since new york highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key10 
1738,33bURv895AN4FkBvgFo2dx,woman harry styles woman highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity presenttime pop key3 
1739,1IF5UcqRO42D12vYwceOY6,from the dining table harry styles from the dining table highpopularity highacousticness highdanceability lowenergy lowinstrumentalness lowliveness midloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime pop key8 
1740,5rk5Yx2oDhJgy43wNvSzdy,kicking and screaming miley cyrus kicking and screaming lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key4 
1741,5Q0Nhxo0l2bP3pNjpGJwV1,party in the usa miley cyrus party in the u.s.a. highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key10 
1742,7ywzEdEuVG1lsjsRCGJfLy,when i look at you miley cyrus when i look at you midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key6 
1743,6KKCoJF2EIQzWZioLPHC4O,the time of our lives miley cyrus the time of our lives lowpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key9 
1744,1KtL0KZuDzB0ht2BKjBN7m,talk is cheap miley cyrus talk is cheap lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key9 
1745,6yYR1mEFK2VYzKGTYTgiKw,obsessed miley cyrus obsessed lowpopularity lowacousticness lowdanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key9 
1746,2JoYVti4PyEyzXg99jhVk3,before the storm – duet with jonas brothers live miley cyrus before the storm – duet with jonas brothers (live) lowpopularity midacousticness middanceability highenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key2 
1747,131RmhQ2mHtY29K1xX3SHW,breakout miley cyrus breakout midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key4 
1748,5ecZWU5uQOiCVSnPxBZNmT,7 things  single version miley cyrus 7 things - single version midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key1 
1749,7h1UdWf4vB3q1lRMQFky9O,the driveway miley cyrus the driveway midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key4 
1750,5R6bRLwPyEj7LLMSJW766C,girls just wanna have fun miley cyrus girls just wanna have fun midpopularity lowacousticness middanceability highenergy lowinstrumentalness midliveness highloudness minormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key11 
1751,3apgFxCTx6xgpkHtmYn1HH,full circle miley cyrus full circle midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key10 
1752,2f6s0AcBRBE0vIOU0NMdXw,fly on the wall miley cyrus fly on the wall midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key7 
1753,5S358piFvvfu8BdzpFqOYK,bottom of the ocean miley cyrus bottom of the ocean midpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key1 
1754,51NbARtVvAiTPkJuTh4kZq,wake up america miley cyrus wake up america lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key4 
1755,5CoJLGXIQpiQ6gY5EtWUvY,these four walls miley cyrus these four walls midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key8 
1756,6M518ywJrEkpzNmNIxIlI1,simple song miley cyrus simple song lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity twothousands pop dance pop postteen pop key0 
